"ICAO Code","IATA Type Code","Model","Wikipedia Link"
"FA7X","DF7","Dassault Falcon 7X","https://en.wikipedia.org/wiki/Dassault_Falcon_7X"
"G159","GRS","Gulfstream Aerospace G-159 Gulfstream I","https://en.wikipedia.org/wiki/Gulfstream_I"
"G280","GR3","Gulfstream G280","https://en.wikipedia.org/wiki/Gulfstream_G280"
"G73T","GRM","Grumman G-73 Turbo Mallard","https://en.wikipedia.org/wiki/Grumman_G-73_Turbo_Mallard"
"GL5T","CCX","Bombardier BD-700 Global 5000","https://en.wikipedia.org/wiki/Bombardier_Global_Express#Global_5000"
"GLEX","CCX","Bombardier Global Express / Raytheon Sentinel","https://en.wikipedia.org/wiki/Bombardier_Global_Express"
"GLF4","GJ4","Gulfstream IV","https://en.wikipedia.org/wiki/Gulfstream_IV"
"GLF5","GJ5","Gulfstream V","https://en.wikipedia.org/wiki/Gulfstream_V"
"GLF6","GJ6","Gulfstream G650","https://en.wikipedia.org/wiki/Gulfstream_G650"
"GA7C","","Gulfstream G700","https://en.wikipedia.org/wiki/Gulfstream_G650/G700/G800"
"H25B","H25","British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900","https://en.wikipedia.org/wiki/British_Aerospace_125"
"H25C","H25","British Aerospace 125-1000 series / Hawker/Raytheon 1000","https://en.wikipedia.org/wiki/British_Aerospace_125"
"HDJT","HHJ","Honda HA-420","https://en.wikipedia.org/wiki/Honda_Jet"
"I114","I14","Ilyushin Il-114","https://en.wikipedia.org/wiki/Ilyushin_Il-114"
"IL18","IL8","Ilyushin Il-18","https://en.wikipedia.org/wiki/Ilyushin_Il-18"
"IL62","IL6","Ilyushin Il-62","https://en.wikipedia.org/wiki/Ilyushin_Il-62"
"IL76","IL7","Ilyushin Il-76","https://en.wikipedia.org/wiki/Ilyushin_Il-76"
"IL86","ILW","Ilyushin Il-86","https://en.wikipedia.org/wiki/Ilyushin_Il-86"
"IL96","I93","Ilyushin Il-96","https://en.wikipedia.org/wiki/Ilyushin_Il-96"
"J328","FRJ","Fairchild Dornier 328JET","https://en.wikipedia.org/wiki/Fairchild_Dornier_328JET"
"JS31","J31","British Aerospace Jetstream 31","https://en.wikipedia.org/wiki/British_Aerospace_Jetstream_31"
"JS32","J32","British Aerospace Jetstream 32","https://en.wikipedia.org/wiki/British_Aerospace_Jetstream_32"
"JS41","J41","British Aerospace Jetstream 41","https://en.wikipedia.org/wiki/British_Aerospace_Jetstream_41"
"K35R","K35","Boeing KC-135 Stratotanker","https://en.wikipedia.org/wiki/Boeing_KC-135_Stratotanker"
"L101","L10","Lockheed L-1011 Tristar","https://en.wikipedia.org/wiki/Lockheed_L-1011_Tristar"
"L188","LOE","Lockheed L-188 Electra","https://en.wikipedia.org/wiki/Lockheed_L-188_Electra"
"L410","L4T","LET 410","https://en.wikipedia.org/wiki/LET_410"
"LJ35","LRJ","Learjet 35 / 36 / C-21A","https://en.wikipedia.org/wiki/Learjet_35"
"LJ60","LRJ","Learjet 60","https://en.wikipedia.org/wiki/Learjet_60"
"MD11","M11","McDonnell Douglas MD-11","https://en.wikipedia.org/wiki/McDonnell_Douglas_MD-11"
"MD11","M1F","McDonnell Douglas MD-11F","https://en.wikipedia.org/wiki/McDonnell_Douglas_MD-11"
"MD11","M1M","McDonnell Douglas MD-11C","https://en.wikipedia.org/wiki/McDonnell_Douglas_MD-11"
"MD81","M81","McDonnell Douglas MD-81","https://en.wikipedia.org/wiki/McDonnell_Douglas_MD-81"
"MD82","M82","McDonnell Douglas MD-82","https://en.wikipedia.org/wiki/McDonnell_Douglas_MD-82"
"MD83","M83","McDonnell Douglas MD-83","https://en.wikipedia.org/wiki/McDonnell_Douglas_MD-83"
"MD87","M87","McDonnell Douglas MD-87","https://en.wikipedia.org/wiki/McDonnell_Douglas_MD-87"
"MD88","M88","McDonnell Douglas MD-88","https://en.wikipedia.org/wiki/McDonnell_Douglas_MD-88"
"MD90","M90","McDonnell Douglas MD-90","https://en.wikipedia.org/wiki/McDonnell_Douglas_MD-90"
"MU2","MU2","Mitsubishi Mu-2","https://en.wikipedia.org/wiki/Mitsubishi_Mu-2"
"N262","ND2","Aerospatiale (Nord) 262","https://en.wikipedia.org/wiki/A%C3%A9rospatiale_N_262"
"NOMA","CD2","Government Aircraft Factories N22B / N24A Nomad","https://en.wikipedia.org/wiki/GAF_Nomad"
"P8","","Boeing P-8 Poseidon","https://en.wikipedia.org/wiki/Boeing_P-8_Poseidon"
"P180","P18","Piaggio P.180 Avanti","https://en.wikipedia.org/wiki/Piaggio_P.180_Avanti"
"PAY2","","PIPER Cheyenne 2","https://en.wikipedia.org/wiki/Piper_PA-42_Cheyenne"
"PC24","PL4","Pilatus PC-24","https://en.wikipedia.org/wiki/Pilatus_PC-24"
"RJ1H","AR1","Avro RJ100","https://en.wikipedia.org/wiki/Avro_RJ100"
"RJ70","AR7","Avro RJ70","https://en.wikipedia.org/wiki/Avro_RJ70"
"RJ85","AR8","Avro RJ85","https://en.wikipedia.org/wiki/Avro_RJ85"
"S601","NDC","Aerospatiale SN.601 Corvette","https://en.wikipedia.org/wiki/A%C3%A9rospatiale_Corvette"
"SB20","S20","Saab 2000","https://en.wikipedia.org/wiki/Saab_2000"
"SC7","SHS","Shorts SC-7 Skyvan","https://en.wikipedia.org/wiki/Shorts_SC-7"
"SF34","SF3","Saab SF340A/B","https://en.wikipedia.org/wiki/Saab_SF340"
"SH33","SH3","Shorts SD.330","https://en.wikipedia.org/wiki/Short_330"
"SH36","SH6","Shorts SD.360","https://en.wikipedia.org/wiki/Short_360"
"SU95","SU9","Sukhoi Superjet 100-95","https://en.wikipedia.org/wiki/Sukhoi_Superjet_100-95"
"SW4","SW4","Fairchild Swearingen Metroliner","https://en.wikipedia.org/wiki/Fairchild_Swearingen_Metroliner"
"T134","TU3","Tupolev Tu-134","https://en.wikipedia.org/wiki/Tupolev_Tu-134"
"T154","TU5","Tupolev Tu-154","https://en.wikipedia.org/wiki/Tupolev_Tu-154"
"T204","T20","Tupolev Tu-204 / Tu-214","https://en.wikipedia.org/wiki/Tupolev_Tu-204"
"WW24","WWP","Israel Aircraft Industries 1124 Westwind","https://en.wikipedia.org/wiki/IAI_Westwind"
"Y12","YN2","Harbin Y-12","https://en.wikipedia.org/wiki/Harbin_Y-12"
"YK40","YK4","Yakovlev Yak-40","https://en.wikipedia.org/wiki/Yakovlev_Yak-40"
"YK42","YK2","Yakovlev Yak-42","https://en.wikipedia.org/wiki/Yakovlev_Yak-42"
"YS11","YS1","NAMC YS-11","https://en.wikipedia.org/wiki/NAMC_YS-11"
